,Time,Position
390,1654101148.0440373,front
391,1654101148.1910708,front
392,1654101148.336106,front
393,1654101148.4831362,front
394,1654101148.629346,front
395,1654101148.7763758,front
396,1654101148.9224079,front
397,1654101149.06744,front
398,1654101149.213504,front
399,1654101149.3605406,right Side
400,1654101149.5055742,right Side
401,1654101149.6526034,right Side
402,1654101149.7989008,right Side
403,1654101149.9458544,right Side
404,1654101150.0958734,right Side
405,1654101150.2456136,right Side
406,1654101150.3939016,right Side
407,1654101150.538934,right Side
408,1654101150.6855707,right Side
409,1654101150.8325858,right Side
410,1654101150.9786408,right Side
411,1654101151.1246576,right Side
412,1654101151.2711992,right Side
413,1654101151.4182334,right Side
414,1654101151.5662665,right Side
415,1654101151.71532,right Side
416,1654101151.863334,right Side
417,1654101152.0133686,right Side
418,1654101152.2344186,right Side
419,1654101152.3874528,right Side
420,1654101152.534216,right Side
421,1654101152.6812503,right Side
422,1654101152.8287897,right Side
423,1654101152.9748247,right Side
424,1654101153.1238563,right Side
425,1654101153.2700453,right Side
426,1654101153.4160826,right Side
427,1654101153.563045,right Side
428,1654101153.7090764,right Side
429,1654101153.8561094,right Side
430,1654101154.0020335,right Side
431,1654101154.1500678,right Side
432,1654101154.2951157,right Side
433,1654101154.440151,right Side
434,1654101154.591167,right Side
435,1654101154.7412007,right Side
436,1654101154.8942354,right Side
437,1654101155.0412865,right Side
438,1654101155.187302,right Side
439,1654101155.3333533,right Side
440,1654101155.4783862,right Side
441,1654101155.6264033,right Side
442,1654101155.7725277,right Side
443,1654101155.9199753,right Side
444,1654101156.066003,right Side
445,1654101156.210651,right Side
446,1654101156.3586688,right Side
447,1654101156.5047028,right Side
448,1654101156.6512494,right Side
449,1654101156.800282,right Side
450,1654101156.9483163,right Side
451,1654101157.0958576,right Side
452,1654101157.2439294,right Side
453,1654101157.391042,right Side
454,1654101157.5379803,right Side
455,1654101157.6850564,right Side
456,1654101157.8347173,right Side
457,1654101157.982791,right Side
458,1654101158.1298118,right Side
459,1654101158.2769966,right Side
460,1654101158.42404,right Side
461,1654101158.5698905,right Side
462,1654101158.7169235,right Side
463,1654101158.866812,right Side
464,1654101159.013846,right Side
465,1654101159.1608953,right Side
466,1654101159.3071122,right Side
467,1654101159.4531622,right Side
468,1654101159.5977273,right Side
469,1654101159.7477438,right Side
470,1654101159.8967762,right Side
471,1654101160.044827,right Side
472,1654101160.1921773,right Side
473,1654101160.3388784,right Side
474,1654101160.4879117,right Side
475,1654101160.6369445,right Side
476,1654101160.7849832,right Side
477,1654101160.9400146,right Side
478,1654101161.0864134,right Side
479,1654101161.2320828,right Side
480,1654101161.3781164,right Side
481,1654101161.5241494,right Side
482,1654101161.6711984,front
483,1654101161.8182173,front
484,1654101161.9642496,front
485,1654101162.1112826,front
486,1654101162.258324,front
487,1654101162.4033656,front
488,1654101162.5533478,right Side
489,1654101162.701916,front
490,1654101162.8527646,front
491,1654101162.999044,right Side
492,1654101163.1495874,right Side
